Training on cuda
/home/aditya/bude_vla/src/bude_vla/models/text_encoder.py:127: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.transformer = nn.TransformerEncoder(layer, num_layers=depth)
/home/aditya/bude_vla/src/bude_vla/models/action_head.py:80: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.temporal = nn.TransformerEncoder(
Model parameters: 19,296,344
  vision: 3,906,880
  text: 3,290,624
  proprio: 1,804
  soft_prompts: 49,152
  backbone: 6,318,080
  action_head: 5,729,804
  total: 19,296,344
  loaded 135483 frames from /home/aditya/bude_vla/data/pick_v7
  total frames: 135483, batches/epoch: 4233, history_frames: 1
  action_norm lo=[-0.4911216  -0.76121104 -1.2978902 ]  hi=[0.21848157 0.8869459  0.99108195]
step   6400 | loss 3157.840186 | lr 2.88e-04 | 15.5 steps/s | epoch 1
step   6500 | loss 3037.051420 | lr 2.88e-04 | 15.5 steps/s | epoch 1
step   6600 | loss 1330.478177 | lr 2.87e-04 | 15.5 steps/s | epoch 1
step   6700 | loss 930.258860 | lr 2.87e-04 | 15.5 steps/s | epoch 1
step   6800 | loss 6488.045057 | lr 2.87e-04 | 15.5 steps/s | epoch 1
step   6900 | loss 4794.321656 | lr 2.86e-04 | 15.5 steps/s | epoch 1
step   7000 | loss 802.402370 | lr 2.86e-04 | 15.5 steps/s | epoch 1
step   7100 | loss 4278.103361 | lr 2.85e-04 | 15.5 steps/s | epoch 1
step   7200 | loss 528.359637 | lr 2.85e-04 | 15.5 steps/s | epoch 1
step   7300 | loss 3304.169448 | lr 2.85e-04 | 15.5 steps/s | epoch 1
step   7400 | loss 3706.203913 | lr 2.84e-04 | 15.5 steps/s | epoch 1
step   7500 | loss 170.379828 | lr 2.84e-04 | 15.5 steps/s | epoch 1
step   7600 | loss 646.448051 | lr 2.83e-04 | 15.5 steps/s | epoch 1
step   7700 | loss 1331.183138 | lr 2.83e-04 | 15.5 steps/s | epoch 1
step   7800 | loss 4549.160880 | lr 2.83e-04 | 15.5 steps/s | epoch 1
step   7900 | loss 143.695803 | lr 2.82e-04 | 15.5 steps/s | epoch 1
step   8000 | loss 2462.008352 | lr 2.82e-04 | 15.5 steps/s | epoch 1
step   8100 | loss 2981.346920 | lr 2.81e-04 | 15.5 steps/s | epoch 1
step   8200 | loss 4499.317478 | lr 2.81e-04 | 15.5 steps/s | epoch 1
step   8300 | loss 2996.055547 | lr 2.80e-04 | 15.5 steps/s | epoch 1
step   8400 | loss 3428.700787 | lr 2.80e-04 | 15.5 steps/s | epoch 1
step   8500 | loss 1767.492508 | lr 2.79e-04 | 15.5 steps/s | epoch 2
step   8600 | loss 4256.595202 | lr 2.79e-04 | 15.5 steps/s | epoch 2
step   8700 | loss 1420.326903 | lr 2.78e-04 | 15.5 steps/s | epoch 2
step   8800 | loss 1967.063886 | lr 2.78e-04 | 15.5 steps/s | epoch 2
step   8900 | loss 3470.092373 | lr 2.77e-04 | 15.5 steps/s | epoch 2
step   9000 | loss 916.051753 | lr 2.77e-04 | 15.5 steps/s | epoch 2
step   9100 | loss 180.843748 | lr 2.76e-04 | 15.5 steps/s | epoch 2
step   9200 | loss 7957.199100 | lr 2.76e-04 | 15.5 steps/s | epoch 2
step   9300 | loss 650.030146 | lr 2.75e-04 | 15.5 steps/s | epoch 2
step   9400 | loss 1427.380220 | lr 2.75e-04 | 15.5 steps/s | epoch 2
step   9500 | loss 1711.126309 | lr 2.74e-04 | 15.5 steps/s | epoch 2
step   9600 | loss 8284.144249 | lr 2.74e-04 | 15.5 steps/s | epoch 2
step   9700 | loss 3937.431299 | lr 2.73e-04 | 15.5 steps/s | epoch 2
step   9800 | loss 1157.887383 | lr 2.73e-04 | 15.5 steps/s | epoch 2
step   9900 | loss 2503.307803 | lr 2.72e-04 | 15.5 steps/s | epoch 2
step  10000 | loss 7109.427246 | lr 2.72e-04 | 15.5 steps/s | epoch 2
  saved checkpoint: /home/aditya/bude_vla/checkpoints/pick_v7/pick_v7_step_010000.pt
step  10100 | loss 2621.973224 | lr 2.71e-04 | 15.5 steps/s | epoch 2
step  10200 | loss 1002.650574 | lr 2.71e-04 | 15.5 steps/s | epoch 2
step  10300 | loss 3902.716726 | lr 2.70e-04 | 15.5 steps/s | epoch 2
step  10400 | loss 908.845364 | lr 2.69e-04 | 15.5 steps/s | epoch 2
step  10500 | loss 1268.218768 | lr 2.69e-04 | 15.5 steps/s | epoch 2
step  10600 | loss 6989.925454 | lr 2.68e-04 | 15.5 steps/s | epoch 2
step  10700 | loss 412.573615 | lr 2.68e-04 | 15.5 steps/s | epoch 2
step  10800 | loss 1551.283837 | lr 2.67e-04 | 15.5 steps/s | epoch 2
step  10900 | loss 2073.319156 | lr 2.67e-04 | 15.5 steps/s | epoch 2
step  11000 | loss 907.821493 | lr 2.66e-04 | 15.5 steps/s | epoch 2
step  11100 | loss 2279.396375 | lr 2.65e-04 | 15.5 steps/s | epoch 2
step  11200 | loss 5485.605046 | lr 2.65e-04 | 15.5 steps/s | epoch 2
step  11300 | loss 6071.912893 | lr 2.64e-04 | 15.5 steps/s | epoch 2
step  11400 | loss 467.496319 | lr 2.64e-04 | 15.5 steps/s | epoch 2
step  11500 | loss 4309.644996 | lr 2.63e-04 | 15.5 steps/s | epoch 2
step  11600 | loss 2667.610879 | lr 2.62e-04 | 15.5 steps/s | epoch 2
step  11700 | loss 4210.394958 | lr 2.62e-04 | 15.5 steps/s | epoch 2
step  11800 | loss 1569.909177 | lr 2.61e-04 | 15.5 steps/s | epoch 2
step  11900 | loss 3395.525910 | lr 2.60e-04 | 15.5 steps/s | epoch 2
step  12000 | loss 3824.912521 | lr 2.60e-04 | 15.5 steps/s | epoch 2
step  12100 | loss 10481.158269 | lr 2.59e-04 | 15.5 steps/s | epoch 2
step  12200 | loss 14605.351353 | lr 2.58e-04 | 15.5 steps/s | epoch 2
step  12300 | loss 12902.279346 | lr 2.58e-04 | 15.5 steps/s | epoch 2
step  12400 | loss 1390.623305 | lr 2.57e-04 | 15.5 steps/s | epoch 2
step  12500 | loss 125.366093 | lr 2.57e-04 | 15.5 steps/s | epoch 2
step  12600 | loss 1043.549878 | lr 2.56e-04 | 15.5 steps/s | epoch 2
step  12700 | loss 713.074109 | lr 2.55e-04 | 15.5 steps/s | epoch 3
step  12800 | loss 1950.008564 | lr 2.55e-04 | 15.5 steps/s | epoch 3
step  12900 | loss 6609.103152 | lr 2.54e-04 | 15.5 steps/s | epoch 3
step  13000 | loss 168.601384 | lr 2.53e-04 | 15.5 steps/s | epoch 3
step  13100 | loss 1840.105593 | lr 2.52e-04 | 15.5 steps/s | epoch 3
step  13200 | loss 2539.453869 | lr 2.52e-04 | 15.5 steps/s | epoch 3
step  13300 | loss 686.660959 | lr 2.51e-04 | 15.5 steps/s | epoch 3
step  13400 | loss 1161.988638 | lr 2.50e-04 | 15.5 steps/s | epoch 3
step  13500 | loss 680.217318 | lr 2.50e-04 | 15.5 steps/s | epoch 3
step  13600 | loss 5509.527823 | lr 2.49e-04 | 15.5 steps/s | epoch 3
step  13700 | loss 143.884516 | lr 2.48e-04 | 15.5 steps/s | epoch 3
step  13800 | loss 2144.824898 | lr 2.48e-04 | 15.5 steps/s | epoch 3
step  13900 | loss 564.840366 | lr 2.47e-04 | 15.5 steps/s | epoch 3
step  14000 | loss 1066.738010 | lr 2.46e-04 | 15.5 steps/s | epoch 3
step  14100 | loss 309.250821 | lr 2.45e-04 | 15.5 steps/s | epoch 3
step  14200 | loss 2259.809495 | lr 2.45e-04 | 15.5 steps/s | epoch 3
step  14300 | loss 1711.958596 | lr 2.44e-04 | 15.5 steps/s | epoch 3
step  14400 | loss 2770.549909 | lr 2.43e-04 | 15.5 steps/s | epoch 3
step  14500 | loss 11579.966185 | lr 2.43e-04 | 15.5 steps/s | epoch 3
step  14600 | loss 553.850563 | lr 2.42e-04 | 15.5 steps/s | epoch 3
step  14700 | loss 899.788540 | lr 2.41e-04 | 15.5 steps/s | epoch 3
step  14800 | loss 2866.547273 | lr 2.40e-04 | 15.5 steps/s | epoch 3
step  14900 | loss 3603.521683 | lr 2.40e-04 | 15.5 steps/s | epoch 3
step  15000 | loss 2093.778811 | lr 2.39e-04 | 15.5 steps/s | epoch 3
  saved checkpoint: /home/aditya/bude_vla/checkpoints/pick_v7/pick_v7_step_015000.pt
step  15100 | loss 1405.596328 | lr 2.38e-04 | 15.5 steps/s | epoch 3
step  15200 | loss 3135.944892 | lr 2.37e-04 | 15.5 steps/s | epoch 3
step  15300 | loss 742.015527 | lr 2.37e-04 | 15.5 steps/s | epoch 3
step  15400 | loss 1361.367467 | lr 2.36e-04 | 15.5 steps/s | epoch 3
step  15500 | loss 1153.076083 | lr 2.35e-04 | 15.5 steps/s | epoch 3
step  15600 | loss 3516.609773 | lr 2.34e-04 | 15.5 steps/s | epoch 3
step  15700 | loss 2071.468592 | lr 2.33e-04 | 15.5 steps/s | epoch 3
step  15800 | loss 577.738938 | lr 2.33e-04 | 15.5 steps/s | epoch 3
step  15900 | loss 2854.642268 | lr 2.32e-04 | 15.5 steps/s | epoch 3
step  16000 | loss 4485.666426 | lr 2.31e-04 | 15.5 steps/s | epoch 3
step  16100 | loss 32.517588 | lr 2.30e-04 | 15.5 steps/s | epoch 3
step  16200 | loss 382.007877 | lr 2.29e-04 | 15.5 steps/s | epoch 3
step  16300 | loss 10522.402757 | lr 2.29e-04 | 15.5 steps/s | epoch 3
step  16400 | loss 958.149477 | lr 2.28e-04 | 15.5 steps/s | epoch 3
step  16500 | loss 476.906724 | lr 2.27e-04 | 15.5 steps/s | epoch 3
step  16600 | loss 7216.714043 | lr 2.26e-04 | 15.5 steps/s | epoch 3
step  16700 | loss 537.022057 | lr 2.25e-04 | 15.5 steps/s | epoch 3
step  16800 | loss 876.586118 | lr 2.25e-04 | 15.5 steps/s | epoch 3
step  16900 | loss 2684.660523 | lr 2.24e-04 | 15.5 steps/s | epoch 3
step  17000 | loss 2400.791376 | lr 2.23e-04 | 15.5 steps/s | epoch 4
step  17100 | loss 1050.025124 | lr 2.22e-04 | 15.5 steps/s | epoch 4
step  17200 | loss 1529.290997 | lr 2.21e-04 | 15.5 steps/s | epoch 4
step  17300 | loss 207.542520 | lr 2.21e-04 | 15.5 steps/s | epoch 4
step  17400 | loss 1039.373038 | lr 2.20e-04 | 15.5 steps/s | epoch 4
step  17500 | loss 3310.361573 | lr 2.19e-04 | 15.5 steps/s | epoch 4
step  17600 | loss 6017.919918 | lr 2.18e-04 | 15.5 steps/s | epoch 4
step  17700 | loss 946.788039 | lr 2.17e-04 | 15.5 steps/s | epoch 4
step  17800 | loss 4211.408660 | lr 2.16e-04 | 15.5 steps/s | epoch 4
step  17900 | loss 1638.758784 | lr 2.16e-04 | 15.5 steps/s | epoch 4
step  18000 | loss 1448.775585 | lr 2.15e-04 | 15.5 steps/s | epoch 4
step  18100 | loss 2320.924769 | lr 2.14e-04 | 15.5 steps/s | epoch 4
step  18200 | loss 4437.249988 | lr 2.13e-04 | 15.5 steps/s | epoch 4
step  18300 | loss 5419.561260 | lr 2.12e-04 | 15.5 steps/s | epoch 4
step  18400 | loss 1299.489178 | lr 2.11e-04 | 15.5 steps/s | epoch 4
step  18500 | loss 761.916047 | lr 2.10e-04 | 15.5 steps/s | epoch 4
step  18600 | loss 5522.624518 | lr 2.10e-04 | 15.5 steps/s | epoch 4
step  18700 | loss 1327.531208 | lr 2.09e-04 | 15.5 steps/s | epoch 4
step  18800 | loss 2024.948763 | lr 2.08e-04 | 15.5 steps/s | epoch 4
step  18900 | loss 303.333865 | lr 2.07e-04 | 15.5 steps/s | epoch 4
step  19000 | loss 395.192604 | lr 2.06e-04 | 15.5 steps/s | epoch 4
step  19100 | loss 0.063449 | lr 2.05e-04 | 15.5 steps/s | epoch 4
step  19200 | loss 1955.963722 | lr 2.04e-04 | 15.5 steps/s | epoch 4
step  19300 | loss 164.531009 | lr 2.04e-04 | 15.5 steps/s | epoch 4
step  19400 | loss 3012.025929 | lr 2.03e-04 | 15.5 steps/s | epoch 4
step  19500 | loss 5069.891617 | lr 2.02e-04 | 15.5 steps/s | epoch 4
step  19600 | loss 1160.404411 | lr 2.01e-04 | 15.5 steps/s | epoch 4
step  19700 | loss 1509.733612 | lr 2.00e-04 | 15.5 steps/s | epoch 4
step  19800 | loss 1982.152126 | lr 1.99e-04 | 15.5 steps/s | epoch 4
step  19900 | loss 1884.049702 | lr 1.98e-04 | 15.5 steps/s | epoch 4
step  20000 | loss 1963.515057 | lr 1.97e-04 | 15.5 steps/s | epoch 4
  saved checkpoint: /home/aditya/bude_vla/checkpoints/pick_v7/pick_v7_step_020000.pt
step  20100 | loss 599.195965 | lr 1.97e-04 | 15.5 steps/s | epoch 4
step  20200 | loss 786.577940 | lr 1.96e-04 | 15.5 steps/s | epoch 4
step  20300 | loss 7272.793926 | lr 1.95e-04 | 15.5 steps/s | epoch 4
step  20400 | loss 12997.010042 | lr 1.94e-04 | 15.5 steps/s | epoch 4
step  20500 | loss 12334.118402 | lr 1.93e-04 | 15.5 steps/s | epoch 4
step  20600 | loss 2528.268617 | lr 1.92e-04 | 15.5 steps/s | epoch 4
step  20700 | loss 14230.222399 | lr 1.91e-04 | 15.5 steps/s | epoch 4
step  20800 | loss 1310.527736 | lr 1.90e-04 | 15.5 steps/s | epoch 4
step  20900 | loss 10184.698138 | lr 1.89e-04 | 15.5 steps/s | epoch 4
